indx,pl_name,hostname,sys_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,st_spectype,st_rad,st_mass,sy_dist,disc_facility
876,TOI-700 e,TOI-700,TOI-700,1,4,Transit,2023,0.134,0.953,0.818,0.059,M2.5 V,0.42,0.42,31.1265,Transiting Exoplanet Survey Satellite (TESS)
877,V1298 Tau b,V1298 Tau,V1298 Tau,1,4,Transit,2019,0.1688,10.27,74.9,0.29,K0,1.34,1.1,108.199,K2
878,V1298 Tau c,V1298 Tau,V1298 Tau,1,4,Transit,2019,0.0825,5.59,26.7,0.43,K0,1.34,1.1,108.199,K2
879,V1298 Tau d,V1298 Tau,V1298 Tau,1,4,Transit,2019,0.1083,6.41,33.6,0.21,K0,1.34,1.1,108.199,K2
880,V1298 Tau e,V1298 Tau,V1298 Tau,1,4,Transit,2019,0.308,8.74,57.0,0.57,K0,1.34,1.1,108.199,K2
881,WASP-47 b,WASP-47,WASP-47,1,4,Transit,2012,0.052,12.64,363.6,0.0028,,1.14,1.04,264.78,SuperWASP
882,WASP-47 c,WASP-47,WASP-47,1,4,Radial Velocity,2015,1.393,13.5,500.0,0.295,,1.14,1.04,264.78,La Silla Observatory
883,WASP-47 d,WASP-47,WASP-47,1,4,Transit,2015,0.085,3.567,14.2,0.01,,1.14,1.04,264.78,K2
884,WASP-47 e,WASP-47,WASP-47,1,4,Transit,2015,0.01673,1.808,6.77,0.03,,1.14,1.04,264.78,K2
885,tau Cet e,tau Cet,tau Cet,1,4,Radial Velocity,2017,0.538,1.81,3.93,0.18,G8.5V,0.83,0.78,3.60304,Multiple Observatories
886,tau Cet f,tau Cet,tau Cet,1,4,Radial Velocity,2017,1.334,1.81,3.93,0.16,G8.5V,0.83,0.78,3.60304,Multiple Observatories
887,tau Cet g,tau Cet,tau Cet,1,4,Radial Velocity,2017,0.133,1.18,1.75,0.06,G8.5V,0.83,0.78,3.60304,Multiple Observatories
888,tau Cet h,tau Cet,tau Cet,1,4,Radial Velocity,2017,0.243,1.19,1.83,0.23,G8.5V,0.83,0.78,3.60304,Multiple Observatories
889,47 UMa b,47 UMa,47 UMa,1,3,Radial Velocity,1996,2.1,13.2,804.08,0.032,G0 V,1.21,1.06,13.7967,Lick Observatory
890,47 UMa c,47 UMa,47 UMa,1,3,Radial Velocity,2001,3.6,14.2,171.621,0.098,G1 V,1.21,1.06,13.7967,Lick Observatory
891,47 UMa d,47 UMa,47 UMa,1,3,Radial Velocity,2009,11.6,13.5,521.22,0.16,G0V,1.21,1.06,13.7967,Lick Observatory
892,61 Vir b,61 Vir,61 Vir,1,3,Radial Velocity,2009,0.050201,2.11,5.1,0.12,G5 V,0.96,0.94,8.50332,Multiple Observatories
893,61 Vir c,61 Vir,61 Vir,1,3,Radial Velocity,2009,0.2175,4.46,18.2,0.14,G5 V,0.96,0.94,8.50332,Multiple Observatories
894,61 Vir d,61 Vir,61 Vir,1,3,Radial Velocity,2009,0.476,5.11,22.9,0.35,G5 V,0.96,0.94,8.50332,Multiple Observatories
895,CoRoT-7 b,CoRoT-7,CoRoT-7,1,3,Transit,2009,0.017016,1.681,4.07661,0.0,G9 V,0.83,0.82,159.906,CoRoT
896,CoRoT-7 c,CoRoT-7,CoRoT-7,1,3,Radial Velocity,2009,0.046,2.83,8.4,0.0,G9 V,0.86,0.9,159.906,CoRoT
897,CoRoT-7 d,CoRoT-7,CoRoT-7,1,3,Radial Velocity,2022,,4.31,17.142,,G9 V,0.84,0.92,159.906,La Silla Observatory
898,EPIC 201754305 d,K2-16,K2-16,1,3,Transit,2019,,1.03,1.08,,K3 V,0.54,0.67,334.967,K2
899,EPIC 206024342 b,EPIC 206024342,EPIC 206024342,1,3,Transit,2019,,1.7,3.53,,,0.82,0.93,369.888,K2
900,EPIC 206024342 c,EPIC 206024342,EPIC 206024342,1,3,Transit,2021,,1.4,2.54,,,1.1,0.93,369.888,K2
901,EPIC 206024342 d,EPIC 206024342,EPIC 206024342,1,3,Transit,2021,,2.6,7.27,,,1.1,0.93,369.888,K2
902,EPIC 249893012 b,EPIC 249893012,EPIC 249893012,1,3,Transit,2020,0.047,1.95,8.75,0.06,G8 IV/V,1.71,1.05,321.296,K2
903,EPIC 249893012 c,EPIC 249893012,EPIC 249893012,1,3,Transit,2020,0.13,3.67,14.67,0.07,G8 IV/V,1.71,1.05,321.296,K2
904,EPIC 249893012 d,EPIC 249893012,EPIC 249893012,1,3,Transit,2020,0.22,3.94,10.18,0.15,G8 IV/V,1.71,1.05,321.296,K2
905,GJ 1061 b,GJ 1061,GJ 1061,1,3,Radial Velocity,2020,0.021,1.1,1.37,0.31,M5.5 V,0.16,0.12,3.67278,La Silla Observatory
906,GJ 1061 c,GJ 1061,GJ 1061,1,3,Radial Velocity,2020,0.035,1.18,1.74,0.29,M5.5 V,0.16,0.12,3.67278,La Silla Observatory
907,GJ 1061 d,GJ 1061,GJ 1061,1,3,Radial Velocity,2020,0.054,1.16,1.64,0.53,M5.5 V,0.16,0.12,3.67278,La Silla Observatory
908,GJ 163 b,GJ 163,GJ 163,1,3,Radial Velocity,2013,0.0607,3.25,10.6,0.073,M,0.41,0.4,15.1285,La Silla Observatory
909,GJ 163 c,GJ 163,GJ 163,1,3,Radial Velocity,2013,0.1254,2.5,6.8,0.099,M,0.41,0.4,15.1285,La Silla Observatory
910,GJ 163 d,GJ 163,GJ 163,1,3,Radial Velocity,2013,1.0304,5.92,29.4,0.373,M,0.41,0.4,15.1285,La Silla Observatory
911,GJ 180 b,GJ 180,GJ 180,1,3,Radial Velocity,2014,0.092,2.43,6.49,0.07,M2 V,0.41,0.43,11.9407,Multiple Observatories
912,GJ 180 c,GJ 180,GJ 180,1,3,Radial Velocity,2014,0.129,2.41,6.4,0.09,M2 V,0.41,0.43,11.9407,Multiple Observatories
913,GJ 180 d,GJ 180,GJ 180,1,3,Radial Velocity,2020,0.309,2.66,7.56,0.14,M3,0.41,0.43,11.9407,Multiple Facilities
914,GJ 3138 b,GJ 3138,GJ 3138,1,3,Radial Velocity,2017,0.0197,1.18,1.78,0.19,M0,0.5,0.68,28.4712,La Silla Observatory
915,GJ 3138 c,GJ 3138,GJ 3138,1,3,Radial Velocity,2017,0.057,1.88,4.18,0.11,M0,0.5,0.68,28.4712,La Silla Observatory
916,GJ 3138 d,GJ 3138,GJ 3138,1,3,Radial Velocity,2017,0.698,3.23,10.5,0.32,M0,0.5,0.68,28.4712,La Silla Observatory
917,GJ 357 b,GJ 357,GJ 357,1,3,Transit,2019,0.035,1.217,1.84,,M2.5 V,0.34,0.34,9.44181,Transiting Exoplanet Survey Satellite (TESS)
918,GJ 357 c,GJ 357,GJ 357,1,3,Radial Velocity,2019,0.061,1.66,3.4,,M2.5 V,0.34,0.34,9.44181,Multiple Observatories
919,GJ 357 d,GJ 357,GJ 357,1,3,Radial Velocity,2019,0.204,2.34,6.1,,M2.5 V,0.34,0.34,9.44181,Multiple Observatories
920,GJ 433 b,GJ 433,GJ 433,1,3,Radial Velocity,2011,0.062,2.33,6.043,0.04,M1.5 V,0.5,0.48,9.06456,La Silla Observatory
921,GJ 433 c,GJ 433,GJ 433,1,3,Radial Velocity,2014,4.819,6.27,32.422,0.12,M1.5 V,0.47,0.48,9.06456,Multiple Observatories
922,GJ 433 d,GJ 433,GJ 433,1,3,Radial Velocity,2020,0.178,2.14,5.223,0.07,M2V,0.47,0.48,9.06456,Multiple Facilities
923,GJ 581 b,GJ 581,GJ 581,1,3,Radial Velocity,2005,0.04061,4.11,15.8,0.0,M3 V,0.33,0.31,6.2981,La Silla Observatory
924,GJ 581 c,GJ 581,GJ 581,1,3,Radial Velocity,2007,0.0721,2.21,5.5,0.0,M3 V,0.33,0.31,6.2981,La Silla Observatory
925,GJ 581 e,GJ 581,GJ 581,1,3,Radial Velocity,2009,0.02815,1.17,1.7,0.0,M3 V,0.33,0.31,6.2981,La Silla Observatory
926,GJ 9827 b,GJ 9827,GJ 9827,1,3,Transit,2017,0.0188,1.577,4.91,0.0,K6 V,0.6,0.61,29.661,K2
927,GJ 9827 c,GJ 9827,GJ 9827,1,3,Transit,2017,0.03925,1.241,0.84,0.0,K6 V,0.6,0.61,29.661,K2
928,GJ 9827 d,GJ 9827,GJ 9827,1,3,Transit,2017,0.05591,2.022,4.04,0.0,K6 V,0.6,0.61,29.661,K2
929,HD 11506 b,HD 11506,HD 11506,1,3,Radial Velocity,2007,2.798425,12.8,1716.82279,0.390871,G0 V,1.24,1.12,51.261,W. M. Keck Observatory
930,HD 11506 c,HD 11506,HD 11506,1,3,Radial Velocity,2008,0.749283,13.3,115.84733,0.233121,G0 V,1.34,1.12,51.261,W. M. Keck Observatory
931,HD 11506 d,HD 11506,HD 11506,1,3,Radial Velocity,2022,12.245208,12.6,2446.83592,0.060812,G0 V,1.24,1.12,51.261,Multiple Observatories
932,HD 136352 b,HD 136352,HD 136352,1,3,Radial Velocity,2019,0.0964,1.664,4.72,0.0,G4 V,1.06,0.87,14.682,La Silla Observatory
933,HD 136352 c,HD 136352,HD 136352,1,3,Radial Velocity,2019,0.1721,2.916,11.24,0.0,G4 V,1.06,0.87,14.682,La Silla Observatory
934,HD 136352 d,HD 136352,HD 136352,1,3,Radial Velocity,2019,0.425,2.562,8.82,0.0,G4 V,1.06,0.87,14.682,La Silla Observatory
935,HD 153557 b,HD 153557,HD 153557,1,3,Radial Velocity,2022,0.068049,4.73,20.05856,0.065355,K0,0.75,0.79,17.9412,Multiple Observatories
936,HD 153557 c,HD 153557,HD 153557,1,3,Radial Velocity,2022,0.111312,4.33,17.30766,0.511322,K0,0.75,0.79,17.9412,Multiple Observatories
937,HD 153557 d,HD 153557,HD 153557,1,3,Radial Velocity,2022,21.349779,11.9,8680.48112,0.151517,K0,0.75,0.79,17.9412,Multiple Observatories
938,HD 181433 b,HD 181433,HD 181433,1,3,Radial Velocity,2008,0.08,2.4,6.3566,0.4,K3 IV,0.79,0.63,26.8762,La Silla Observatory
939,HD 181433 c,HD 181433,HD 181433,1,3,Radial Velocity,2008,1.76,14.1,203.0,0.28,K3 IV,0.81,0.78,26.8762,La Silla Observatory
940,HD 181433 d,HD 181433,HD 181433,1,3,Radial Velocity,2008,3.0,14.2,171.0,0.48,K3 IV,0.81,0.78,26.8762,La Silla Observatory
941,HD 184010 b,HD 184010,HD 184010,1,3,Radial Velocity,2022,0.94,12.1,98.52681,0.0,K0 III-IV,4.86,1.35,60.7993,Okayama Astrophysical Observatory
942,HD 184010 c,HD 184010,HD 184010,1,3,Radial Velocity,2022,1.334,11.8,95.34852,0.0,K0 III-IV,4.86,1.35,60.7993,Okayama Astrophysical Observatory
943,HD 184010 d,HD 184010,HD 184010,1,3,Radial Velocity,2022,1.92,14.3,143.02278,0.0,K0 III-IV,4.86,1.35,60.7993,Okayama Astrophysical Observatory
944,HD 204313 b,HD 204313,HD 204313,1,3,Radial Velocity,2010,3.183074,12.9,1553.54852,0.099741,G5 V,1.1,1.03,47.7945,La Silla Observatory
945,HD 204313 c,HD 204313,HD 204313,1,3,Radial Velocity,2015,0.211213,4.32,17.20043,0.059476,G5 V,1.13,1.03,47.7945,La Silla Observatory
