pl_name,st_spectype
Kepler-229 c,
Kepler-229 d,
Kepler-23 b,
Kepler-23 c,
Kepler-23 d,
Kepler-244 b,
Kepler-244 c,
Kepler-244 d,
Kepler-247 b,
Kepler-247 c,
Kepler-247 d,
Kepler-249 b,M2 V
Kepler-249 c,M2 V
Kepler-249 d,M2 V
Kepler-250 b,
Kepler-250 c,
Kepler-250 d,
Kepler-253 b,
Kepler-253 c,
Kepler-253 d,
Kepler-254 b,
Kepler-254 c,
Kepler-254 d,
Kepler-255 b,
Kepler-255 c,
Kepler-255 d,
Kepler-257 b,
Kepler-257 c,
Kepler-257 d,
Kepler-267 b,M1 V
Kepler-267 c,M1 V
Kepler-267 d,M1 V
Kepler-27 b,
Kepler-27 c,
Kepler-27 d,
Kepler-271 b,
Kepler-271 c,
Kepler-271 d,
